haltung,pdf_file,pdf_kb,text_len,format,entries,readable
"07.999004-36428","20230822_07.999004-36428.pdf",4596,48840,IKAS_Normal,51,True
"07.999004-9021","20250311_07.999004-9021.pdf",2908,18757,WinCan_Standard,13,True
"07.999005-9021","20250311_07.999005-9021.pdf",914,6999,WinCan_Standard,7,True
"07.999009-9788","20250311_07.999009-9788.pdf",2710,17522,WinCan_Standard,18,True
"10009-10.8433","20230914_10009-10.8433.pdf",1645,10061,WinCan_Standard,8,True
"100163-100154","20230804_100163-100154.pdf",476,5830,Fretz_Format,6,True
"1003-1082","20210617_1003-1082.pdf",670,1822,IKAS_Caesar,0,False
"1005251-1005252","20241115_1005251-1005252.pdf",578,7813,WinCan_Standard,6,True
"1005253-1005254","20241115_1005253-1005254.pdf",534,5355,WinCan_Standard,4,True
"1005254-1005255","20241115_1005254-1005255.pdf",512,5263,WinCan_Standard,4,True
"1005255-995993","20241115_1005255-995993.pdf",648,5585,WinCan_Standard,5,True
"1006887-1005251","20241115_1006887-1005251.pdf",534,5263,WinCan_Standard,4,True
"1006888-1006887","20241115_1006888-1006887.pdf",490,5617,WinCan_Standard,6,True
"1007-1403","20210618_1007-1403.pdf",627,1807,IKAS_Caesar,0,False
"10081-8993","20250310_10081-8993.pdf",512,5034,WinCan_Standard,5,True
"1009-754397","20210615_1009-754397.pdf",1043,2478,IKAS_Caesar,0,False
"10090-9952","20230703_10090-9952.pdf",385,7377,Fretz_Format,6,True
"1011-995","20210910_1011-995.pdf",629,1939,IKAS_Caesar,0,False
"10113-10.9355","20250318_10113-10_9355.pdf",382,4508,WinCan_Standard,4,True
"10113-944592","20250318_10113-944592.pdf",448,10025,Unknown,9,True
"1012-1011","20210910_1012-1011.pdf",646,1909,IKAS_Caesar,0,False
"1015-1016","20210608_1015-1016.pdf",672,1801,IKAS_Caesar,0,False
"101660-100163","20230804_101660-100163.pdf",855,8204,Fretz_Format,8,True
"10172-10279","20230914_10172-10279.pdf",1089,9281,WinCan_Standard,10,True
"101761-101774","20230804_101761-101774.pdf",1628,14409,Fretz_Format,16,True
"101774-101777","20230804_101774-101777.pdf",821,10189,Fretz_Format,14,True
"101777-101660","20230804_101777-101660.pdf",672,6859,Fretz_Format,8,True
"1020159-10.72709","20250915_1020159-10.72709.pdf",1568,13527,Fretz_Format,14,True
"1020160-10.102016","20250915-1020160-10.102016.pdf",2236,20056,Fretz_Format,24,True
"10254-07.10173","20250311_10254-07_10173.pdf",758,6561,WinCan_Standard,5,True
"10254-10417","20250311_10254-07.10173.pdf",758,6561,WinCan_Standard,5,True
"10275-10090","20230703_10275-10090.pdf",212,5402,Fretz_Format,2,True
"10287-1042599","20251111_10287-1042599.pdf",737,1996,IKAS_Normal,0,False
"10291-9010","20250318_10291-9010.pdf",543,11407,Unknown,12,True
"1029857-29120","20250130_1029857-29120.pdf",2241,25961,Fretz_Format,34,True
"10317-9010","20250318_10317-9010.pdf",239,7499,Unknown,7,True
"10318-10951","20200709_10318-10951.pdf",1221,1825,IKAS_Caesar,0,False
"1035234-1035233","107.4 Situation Gothardstr. 1-100 AWU (2025.10.08).pdf",2642,34312,Unknown,0,False
"10417-10.9396","20250312_10417-10_9396.pdf",549,6415,WinCan_Standard,5,True
"1042598-10287","20251111_1042598-10287.pdf",704,1997,IKAS_Normal,0,False
"1042601-1042602","20251111_1042601-1042602.pdf",726,1973,IKAS_Normal,0,False
"1042612-1042615","20251111_1042612-1042615.pdf",683,1947,IKAS_Normal,0,False
"10524-10523","20250311_10524-10523.pdf",825,6856,WinCan_Standard,5,True
"1052658-999001","20260122_1052658-999001.pdf",1157,9472,WinCan_Standard,11,True
"10546-10524","20250310_10546-10524.pdf",903,6926,WinCan_Standard,5,True
"10589-u","20241024_10589-u.pdf",418,5250,WinCan_Standard,4,True
"10591-10286","20251105_10591-10286.pdf",706,2038,Unknown,0,False
"1070102-80631","20250925_1070102-80631.pdf",981,5582,Fretz_Format,4,True
"10750-10.9474","20250310_10750-10_9474.pdf",880,6609,WinCan_Standard,5,True
"1077458-59604","20260408_1077458-59604.pdf",950,7580,WinCan_Standard,5,True
"1077460-1077458","20260408_1077460-1077458.pdf",719,6091,WinCan_Standard,4,True
"1077586-1077458","20260408_1077586-1077458.pdf",798,7104,WinCan_Standard,7,True
"10807-10261","20251105_10807-10261.pdf",733,2049,Unknown,0,False
"10817-06.944588","20250318_10817-06.944588.pdf",485,10034,Unknown,10,True
"10841-9231","20230914_10841-9231.pdf",1910,12350,WinCan_Standard,10,True
"10894-9958","20250318_10894-9958.pdf",768,15791,Unknown,18,True
"10915-10396","20230915_10915-10396.pdf",711,5777,WinCan_Standard,8,True
"10923-10.8459","20230914_10923-10.8459.pdf",636,4778,WinCan_Standard,5,True
"10925-999007","20250311_10925-999007.pdf",1738,12103,WinCan_Standard,14,True
"10927-07.999001","20250310_10927-07_999001.pdf",519,4852,WinCan_Standard,5,True
"109721-178857","20180424_109721-178857.pdf",989,5171,Fretz_Format,4,True
